Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,City ,County,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
66000152,,Alabama State Capitol,Listed,Single,FALSE,9, POLITICS/GOVERNMENT,BUILDING,ALABAMA,Montgomery,Montgomery,"Goat Hill, E end of Dexter Ave.",https://catalog.archives.gov/id/77835681,10/15/1966,12/19/1960, Confederate Capitol,,66000152
66000931,,Apalachicola Fort,Listed,Single,TRUE,10, HISTORIC - NON-ABORIGINAL; EXPLORATION/SETTLEMENT,SITE,ALABAMA,Holy Trinity,Russell,Address Restricted,,10/15/1966,07/19/1964,,,66000931
73000337,,Barton Hall,Listed,Single,FALSE,4, ARCHITECTURE,BUILDING,ALABAMA,Cherokee,Colbert,2.5 mi. (4 km) W of Cherokee on U.S. 72,https://catalog.archives.gov/id/77835633,11/07/1973,11/07/1973, Cunningham Plantation,,73000337
05000455,,"Bethel Baptist Church, Parsonage, and Guardhouse",Listed,Single,FALSE,, LAW; POLITICS/GOVERNMENT; ETHNIC HERITAGE-BLACK; SOCIAL HISTORY,building,ALABAMA,Collegeville,Jefferson,"3233, 3232, and 3236 29th Avenue North",https://catalog.archives.gov/id/77835649,04/05/2005,04/05/2005,,,05000455
74000398,,Bottle Creek Indian Mounds,Listed,Single,TRUE,255, PREHISTORIC; HISTORIC - ABORIGINAL,SITE,ALABAMA,Stockton,Baldwin,Address Restricted,,12/02/1974,04/19/1994, Mound Island;Bottle Creek Site (1 Ba 2),,74000398
82002009,,Brown Chapel African Methodist Episcopal Church,Listed,Single,FALSE,7.5, BLACK; POLITICS/GOVERNMENT; ARCHITECTURE; SOCIAL HISTORY,building,ALABAMA,Selma,Dallas,"410 Martin Luther King, Jr. St.",https://catalog.archives.gov/id/77836066,02/04/1982,12/09/1997,,,82002009
76002259,,"Clayton, Henry D., House",Listed,Single,FALSE,51, COMMERCE; POLITICS/GOVERNMENT,BUILDING,ALABAMA,Clayton,Barbour,1 mi. S of Clayton off AL 30,https://catalog.archives.gov/id/77835631,12/08/1976,12/08/1976, Clayton Plantation,,76002259
66000154,,"Curry, J. L. M., House",Listed,Single,FALSE,760.5, EDUCATION,BUILDING,ALABAMA,Talladega,Talladega,3 mi. NE of Talladega on AL 21,https://catalog.archives.gov/id/77835692,10/15/1966,12/21/1965, Jabez Lamar Monroe Curry House,,66000154
74000431,,Dexter Avenue Baptist Church,Listed,Single,FALSE,0.9, BLACK; POLITICS/GOVERNMENT; RELIGION; SOCIAL HISTORY,BUILDING,ALABAMA,Montgomery,Montgomery,454 Dexter Ave.,https://catalog.archives.gov/id/77835679,07/01/1974,05/30/1974,,,74000431
13000281,,Edmund Pettus Bridge,Listed,Single,FALSE,,,STRUCTURE,ALABAMA,Selma,Dallas,"US 80, MP 85.415",,02/27/2013,02/27/2013,,,13000281
74000420,,Episcopal Church of the Nativity,Listed,Single,FALSE,1, ARCHITECTURE; RELIGION,BUILDING,ALABAMA,Huntsville,Madison,212 Eustis St.,https://catalog.archives.gov/id/77836774,10/09/1974,06/21/1990,,,74000420
72000178,,Fort Mitchell Site,Listed,Single,TRUE,321, HISTORIC - ABORIGINAL; COMMERCE; HISTORIC - NON-ABORIGINAL; MILITARY,SITE,ALABAMA,Fort Mitchell,Russell,Address Restricted,,06/13/1972,06/21/1990, Fort Mitchell;1Ru102,,72000178
66000146,,Fort Morgan,Listed,Single,FALSE,250, MILITARY,BUILDING,ALABAMA,Gasque,Baldwin,Western terminus of AL 180,https://catalog.archives.gov/id/77835629,10/15/1966,12/19/1960,,,66000146
66000148,,Fort Toulouse,Listed,Single,FALSE,180, MILITARY; EXPLORATION/SETTLEMENT,SITE,ALABAMA,Wetumpka,Elmore,4 mi (6.4 km) SW of Wetumpka at confluence of the Coosa and Tallapoosa rivers,https://catalog.archives.gov/id/77835641,10/15/1966,10/09/1960, Fort Jackson,,66000148
05000457,,"Foster Auditorium, The University of Alabama",Listed,Single,FALSE,,,BUILDING,ALABAMA,Tuscaloosa,Tuscaloosa,Sixth Avenue,https://catalog.archives.gov/id/77835694,04/05/2005,04/05/2005,,,05000457
72000167,,Gaineswood,Listed,Single,FALSE,6, ARCHITECTURE,BUILDING,ALABAMA,Demopolis,Marengo,805 S. Cedar St.,https://catalog.archives.gov/id/77835667,01/05/1972,03/03/1974,,,72000167
92001885,,Government Street Presbyterian Church,Listed,Single,FALSE,0.9, ARCHITECTURE,BUILDING,ALABAMA,Mobile,Mobile,300 Government St.,https://catalog.archives.gov/id/77835669,10/05/1992,10/05/1992,,,92001885
70000101,,Ivy Green,Listed,Single,FALSE,10, EDUCATION; COMMUNICATIONS; SOCIAL HISTORY,BUILDING,ALABAMA,Tuscumbia,Colbert,300 W. North Common,https://catalog.archives.gov/id/77835970,08/25/1970,03/31/1992, Helen Keller Birthplace,,70000101
90001318,,Kenworthy Hall,Listed,Single,FALSE,19, ARCHITECTURE,BUILDING,ALABAMA,Marion,Perry,"AL 14, W of Marion",https://catalog.archives.gov/id/77835683,08/23/1990,08/18/2004, Carlisle Hall; Edward Kennedy Carlisle House,,90001318
69000034,,Mobile City Hall,Listed,Single,FALSE,4, COMMERCE; ARCHITECTURE,BUILDING,ALABAMA,Mobile,Mobile,111 S. Royal St.,https://catalog.archives.gov/id/77836878,12/03/1969,11/07/1973, City Hall;Old City Hall--Old Southern Market,,69000034
